Date,Open,High,Low,Close,Volume,Adj Close
2017-05-10,61.650002,61.799999,61.220001,61.369999,3954200,61.369999
2017-05-09,61.900002,62.439999,61.66,61.82,6135300,61.82
2017-05-08,62.759998,62.799999,61.75,61.919998,6480900,61.919998
2017-05-05,62.759998,62.950001,62.610001,62.709999,5843000,62.709999
2017-05-04,62.919998,63.48,62.599998,62.669998,8488000,62.669998
2017-05-03,61.400002,61.91,61.259998,61.540001,7470700,61.540001
2017-05-02,61.50,62.060001,61.389999,61.529999,5196900,61.529999
2017-05-01,61.189999,61.880001,61.07,61.610001,5767400,61.610001
2017-04-28,61.049999,61.32,60.869999,60.91,4798100,60.91
2017-04-27,60.209999,61.41,60.119999,61.150002,6802300,61.150002
2017-04-26,60.009998,60.82,59.919998,60.16,12273400,60.16
2017-04-25,60.009998,60.299999,59.900002,60.07,8288100,60.07
2017-04-24,59.900002,59.959999,59.41,59.689999,7837700,59.689999
2017-04-21,59.560001,59.700001,59.080002,59.130001,6143500,59.130001
2017-04-20,59.150002,60.490002,58.93,59.669998,9396700,59.669998
2017-04-19,59.82,59.98,58.709999,58.98,6107300,58.98
2017-04-18,59.59,59.919998,59.299999,59.50,4831100,59.50
2017-04-17,59.610001,60.060001,59.369999,59.93,5920700,59.93
2017-04-13,59.990002,60.299999,59.50,59.549999,5941800,59.549999
2017-04-12,60.189999,60.459999,59.740002,60.169998,7461800,60.169998
2017-04-11,61.279999,61.41,60.560001,60.790001,6142000,60.790001
2017-04-10,61.41,61.889999,61.27,61.48,4760900,61.48
2017-04-07,61.52,61.82,61.290001,61.34,4847200,61.34
2017-04-06,61.50,62.07,61.389999,61.84,3862600,61.84
2017-04-05,62.529999,62.77,61.549999,61.619999,4605300,61.619999
2017-04-04,61.709999,62.259998,61.50,62.18,4553200,62.18
2017-04-03,62.43,62.560001,61.34,61.790001,5158800,61.790001
